id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating
10662,6567,DEWARS POOL,WA,116.419958,-31.459208,TOODYAY LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-31.3866375,116.3553308,50902124410.0,50902124410.0,509021244.0,Toodyay,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Pearce,177.966583251953,W2,PHN503,Country WA,Toodyay,58330.0,Pearce,Outer Metropolitan
10665,6568,BOLGART,WA,116.537461,-31.246581,TOODYAY LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-31.2742697,116.5087254,50902124103.0,50902124103.0,509021241.0,Moora,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Durack,,W2,PHN503,Country WA,Goomalling,53710.0,Pearce,Outer Metropolitan
10668,6569,CALINGIRI,WA,116.452845,-31.085084,TOODYAY LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-31.0893373,116.4481424,50902124101.0,50902124101.0,509021241.0,Moora,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Durack,266.431427001953,W2,PHN503,Country WA,Victoria Plains,58540.0,Durack,Rural
10670,6571,YERECOIN,WA,116.396621,-30.940448,TOODYAY LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.9139217,116.4429944,50902124101.0,50902124101.0,509021241.0,Moora,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Durack,263.574066162109,W2,PHN503,Country WA,Victoria Plains,58540.0,Durack,Rural
10671,6572,PIAWANING,WA,116.396304,-30.804675,WA Country,,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.7963,116.396,50902124110.0,50902124110.0,509021241.0,Moora,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Durack,,W2,PHN503,Country WA,Victoria Plains,58540.0,Durack,Rural
10672,6574,BINDI BINDI,WA,116.425241,-30.650914,MOORA LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.5938945,116.3630201,50902124107.0,50902124107.0,509021241.0,Moora,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Durack,300.886657714844,W2,PHN503,Country WA,Moora,55600.0,Durack,Rural
10674,6575,MILING,WA,116.424426,-30.410873,MOORA LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.3953738,116.3721711,50902124111.0,50902124111.0,509021241.0,Moora,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Durack,271.271911621094,W2,PHN503,Country WA,Moora,55600.0,Durack,Rural
10675,6603,KONNONGORRING,WA,116.725982,-30.874243,WONGAN HILLS LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-31.0392977,116.7729612,50902123804.0,50902123804.0,509021238.0,Dowerin,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Durack,299.690673828125,W2,PHN503,Country WA,Wongan-Ballidu,59310.0,Durack,Rural
10680,6605,KONDUT,WA,116.762957,-30.730158,WONGAN HILLS LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.7189059,116.8439147,50902123808.0,50902123808.0,509021238.0,Dowerin,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,4.0,4.0,6.0,6.0,Durack,285.101806640625,W2,PHN503,Country WA,Wongan-Ballidu,59310.0,Durack,Rural
10681,6606,BALLIDU,WA,116.829163,-30.614263,BALLIDU LPO,Delivery Area,Updated 3-Dec-2022,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.5964473,116.7699432,50902123808.0,50902123808.0,509021238.0,Dowerin,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,4.0,4.0,6.0,6.0,Durack,,W2,PHN503,Country WA,Wongan-Ballidu,59310.0,Durack,Rural
